PLAYER,TEAM,AGE,GP,MIN,SCREEN_ASSISTS,DEFLECTIONS_PER_48,LOOSE_BALLS_RECOVERED,CHARGES_DRAWN,CONTESTED_2PT_SHOTS,CONTESTED_3PT_SHOTS,CONTESTED_SHOTS
Tyreke Evans,SAC,27,40,788,0.1,3.4,1,0.1,4.2,5.1,9.3
Hollis Thompson,NOP,26,40,752,0.3,2.4,0.8,0,6,4.3,10.3
Raul Neto,UTA,25,40,346,0.6,5.4,2.4,0,9,6.2,15.3
Rodney Stuckey,IND,31,39,696,0.4,1.7,1.5,0.1,4.2,4.2,8.4
Alexis Ajinca,NOP,29,39,584,5.4,3.8,1.6,0.1,15.9,3.2,19.1
Isaiah Canaan,CHI,26,39,592,0.3,2.9,1.5,0.2,3.8,3.2,7
Darrun Hilliard,DET,24,39,381,0.3,2.5,1,0.3,5.7,3.9,9.6
Beno Udrih,DET,34,39,560,0.3,2.7,1,0.1,5.1,4.2,9.3
Pat Connaughton,POR,24,39,316,0.3,1.5,1.5,0,7.7,6.2,14
DeAndre' Bembry,ATL,22,38,371,0.8,3.2,0.9,0,5.7,4.3,10
Ivica Zubac,LAL,20,38,609,6.5,1.7,1.1,0,21.5,3.9,25.5
Andrew Nicholson,BKN,27,38,342,4.8,2.9,0.8,0,12.6,4.2,16.8
Quincy Acy,BKN,26,38,558,2.2,4.1,0.8,0.5,12.4,5.1,17.5
Dejounte Murray,SAS,20,38,322,0.3,4.6,0.6,0,5.8,4.9,10.7
Jordan McRae,CLE,26,37,384,0.4,2.1,0.5,0,7.4,4.6,12
Fred VanVleet,TOR,23,37,294,0.3,6,1.6,0,4.1,3.8,7.8
Luis Scola,BKN,37,36,461,4.6,3.3,0.9,0.3,13.5,3.3,16.9
Omri Casspi,MIN,29,36,642,0.4,2.6,1,0,8.1,4.5,12.6
Bryn Forbes,SAS,23,36,285,0,1.3,1.3,0,4.2,3,7.2
Deyonta Davis,MEM,20,36,238,4.2,2.4,0.6,0,16.1,3.4,19.6
Jeremy Lin,BKN,28,36,883,0.7,3.9,2.7,0.4,9.4,3.4,12.8
Jodie Meeks,ORL,29,36,738,0.3,4.2,1.4,0.2,4.7,4.4,9.2
Boban Marjanovic,DET,28,35,293,6.4,2,0.8,0,16.4,1.5,17.9
Jake Layman,POR,23,35,249,0,3.5,1.7,0.2,5,4,9.1
J.J. Barea,DAL,33,35,771,0.4,1.1,1.5,0.1,2.7,3.4,6
Okaro White,MIA,24,35,471,3.1,2.6,1.2,0.2,11,4.8,15.8
Donatas Motiejunas,NOP,26,34,479,6.9,3.4,1.1,0.8,15.2,6.3,21.5
Chandler Parsons,MEM,28,34,675,0.1,2.6,1,0.2,4.2,3.7,7.9
Skal Labissiere,SAC,21,33,612,3.1,2.5,2.4,0,12.1,6.2,18.3
Wade Baldwin IV,MEM,21,33,405,0.2,3.2,1.8,0,6.8,5.5,12.2
Joe Young,IND,25,33,135,0,3.9,1.4,0.4,4.3,3.6,7.8
Marcus Thornton,WAS,30,33,575,0.3,2.8,1.6,0,2.4,4.2,6.6
Maurice Ndour,NYK,25,32,331,2,4.2,1.3,0,8.3,5.2,13.5
Kyle Singler,OKC,29,32,385,0.5,2.1,0.2,0.2,7.7,4.5,12.2
Derrick Jones Jr.,PHX,20,32,545,0.4,2.4,1,0.1,7,4.5,11.4
Omer Asik,NOP,30,31,482,6.1,2.2,0.5,0,13.3,2.2,15.5
Ian Mahinmi,WAS,30,31,555,6.8,6.1,1.7,0.2,17.6,4.2,21.8
Reggie Bullock,DET,26,31,467,0.1,3,1.1,0,4.7,5.6,10.3
Cameron Payne,CHI,22,31,462,0.4,2.9,1.1,0.4,6,4.6,10.6
Joel Embiid,PHI,23,31,786,4.2,3.8,1.2,0.1,19.5,3.5,23
Sheldon Mac,WAS,24,30,287,0,3.3,1.3,0.3,7,6.4,13.4
Troy Williams,HOU,22,30,557,0,3.5,1.4,0,5.4,6.4,11.8
Rudy Gay,SAC,30,30,1013,0.9,4.1,1.9,0.1,7,5,12
Alan Anderson,LAC,34,30,308,0.2,1.4,1.6,0,2.5,5.5,7.9
James Young,BOS,21,29,220,0.2,2.8,1.7,0,3.7,7,10.7
Khris Middleton,MIL,25,29,889,0.6,4.8,1.2,0.4,4.2,5.7,9.9
Rakeem Christmas,IND,25,29,219,5.3,2.6,0.9,0,15.8,6.6,22.4
Brandan Wright,MEM,29,28,447,4.7,2.6,1.1,0,13.5,3.9,17.4
Andrew Bogut,CLE,32,27,583,6.4,2.5,0.6,1.1,12.5,1,13.5
Treveon Graham,CHA,23,27,189,0.5,1.8,1.3,0.3,6.9,6.1,13
Delon Wright,TOR,25,27,446,0.6,7.1,2,0.3,5.7,5,10.7
Chasson Randle,NYK,24,26,299,1.1,4.3,2.7,0.5,5.3,6.3,11.6
Metta World Peace,LAL,37,25,160,0.6,6.3,0.9,0,5.4,7.5,12.9
Jordan Mickey,BOS,22,25,141,5.4,3.1,2.4,0,14.3,4.8,19.1
