ADVANCED,GP,GS,MPG,USG_PCT,OFF_RTG,DEF_RTG,TS_PCT,EFG_PCT,FT_RATE,3FG_TEND,OFF_REB_PCT,DEF_REB_PCT,REB_PCT,AST_PCT,STL_PCT,BLK_PCT,TO_PCT
"31 Monroe, Greg MIL",81,0,22.5,24.3,111.3,105.4,0.572,0.533,24.4,0.6,10.8,23.1,17,17.30%,2.60%,1.80%,14.40%
"31 Butler, Jimmy CHI",76,75,37,26.6,122.9,105.4,0.586,0.492,46.7,19.8,4.9,13.2,9,24.80%,2.60%,0.90%,9.30%
"35 Zeller, Cody CHA",62,58,27.8,15.5,120.9,105.5,0.604,0.571,30,0.2,8.6,17.3,12.9,9.00%,1.80%,3.00%,10.90%
"36 Bazemore, Kent ATL",73,64,26.9,20.5,97.4,105.8,0.504,0.473,16.5,36.9,2.6,10.3,6.5,14.10%,2.30%,2.30%,13.60%
"37 Jones, Terrence MIL",54,12,23.5,21.5,102.9,106,0.515,0.489,20.9,15.2,-,-,-,7.50%,-,-,7.80%
"38 Randolph, Zach MEM",73,5,24.5,29.1,103.1,106.1,0.49,0.46,14.6,9.8,11.3,27.4,19.1,13.40%,1.10%,0.50%,8.60%
"38 Hill, George UTA",49,49,31.5,23.3,118.6,106.1,0.599,0.554,25.9,38.4,1.8,10.5,6.2,22.60%,1.70%,0.60%,10.90%
"38 Adams, Steven OKC",80,80,29.9,16.2,113.9,106.1,0.589,0.571,24,0.2,13,15.4,14.2,5.40%,1.80%,2.60%,16.00%
"41 Roberson, Andre OKC",79,79,30.1,10.1,107.7,106.2,0.51,0.513,10.2,39.7,4.6,14.2,9.4,4.60%,1.90%,2.70%,9.10%
"42 Aminu, Al-Farouq POR",61,25,29.1,15.5,99.4,106.3,0.506,0.468,20.6,45.5,4.8,23.5,14.1,7.90%,1.70%,2.00%,15.10%
"42 Hayward, Gordon UTA",73,73,34.5,27.6,118.3,106.3,0.595,0.536,31.3,32.4,2.3,15.4,9,18.10%,1.50%,0.60%,9.40%
"44 Love, Kevin CLE",60,60,31.4,26,114.4,106.4,0.573,0.51,29.6,44.9,8.9,29.3,19.5,9.70%,1.40%,0.90%,10.90%
"44 Mills, Patty SA",80,8,21.9,19.5,113.9,106.4,0.578,0.558,10.6,57.2,1.6,7.4,4.6,24.20%,1.90%,0.10%,13.30%
"46 Johnson, Amir BOS",80,77,20.1,13.5,121.4,106.5,0.628,0.612,18.1,17.8,8.3,17,12.7,13.10%,1.60%,3.20%,15.70%
"46 Young, Thaddeus IND",74,74,30.2,16.4,109.3,106.5,0.562,0.56,6.6,17.2,6.7,15.7,11.2,8.40%,2.50%,1.10%,11.60%
"46 Kidd-Gilchrist, Michael CHA",81,81,29,14.5,113.2,106.5,0.528,0.478,24.6,1.5,7.3,19.3,13.2,7.40%,1.70%,2.90%,7.40%
"49 Olynyk, Kelly BOS",75,6,20.5,19,112.7,106.7,0.603,0.579,17.7,37.8,5.3,20.7,13.1,15.40%,1.40%,1.50%,14.60%
"49 Green, JaMychal MEM",77,75,27.3,14.4,117.3,106.7,0.601,0.555,26.8,29,8.8,21.1,14.8,6.40%,1.20%,1.50%,14.10%
"Booker, Trevor BKN",71,43,24.7,18.7,105,106.8,0.554,0.537,12.5,13.2,8.7,25.5,17.2,12.70%,2.00%,1.20%,16.60%
"Hollis-Jefferson, Rondae BKN",78,50,22.6,18.7,102.1,106.9,0.517,0.447,35.1,12.4,5.8,21.1,13.6,13.40%,2.20%,1.90%,15.10%
"Kanter, Enes OKC",72,0,21.3,27.5,116.5,107,0.599,0.549,30.4,5.2,14.1,20.8,17.4,7.80%,1.00%,2.00%,12.50%
"Hood, Rodney UTA",59,55,27,23.1,103.5,107,0.522,0.494,13.5,46.1,1.2,13.1,7.3,10.20%,1.20%,0.60%,8.30%
"Johnson, Tyler MIA",73,0,29.8,20.9,111.8,107.1,0.535,0.49,23.7,30.3,2.5,12.5,7.4,16.60%,1.90%,1.60%,8.80%
"Ilyasova, Ersan ATL",82,52,26.1,22.1,106.9,107.3,0.546,0.511,18.1,45.2,-,-,-,11.00%,-,-,10.50%
"Griffin, Blake LAC",61,61,34,28,115.8,107.3,0.569,0.513,33,11.6,6.2,20.2,13.4,24.80%,1.40%,0.90%,10.90%
"Horford, Al BOS",68,68,32.3,19.7,113.9,107.4,0.553,0.527,13.5,30.2,4.9,18.6,11.8,24.20%,1.20%,3.20%,11.80%
"Harden, James HOU",81,81,36.4,34.2,118,107.4,0.613,0.525,48.7,49.3,3.5,20.9,12.2,50.70%,2.00%,1.00%,19.50%
"George, Paul IND",75,75,35.9,29,108.9,107.4,0.587,0.534,24.9,36.8,2.5,17.9,10.3,16.00%,2.20%,0.90%,12.70%
