ADVANCED,GP,GS,MPG,USG%,OFF RTG,DEF RTG,TS%,EFG%,FT RATE,3FG TEND,OFF REB%,DEF REB%,REB%,AST%,STL%,BLK%,TO%
"Bullock, J'Nathan CLEVST",37,37,32,26.4,107.8,91.7,0.52,0.462,42.4,25.7,7.1,19.1,11.8,9.90%,1.90%,1.40%,9.40%
"Dyson, Jerome UCONN",24,24,29.3,24.9,106.9,91.8,0.516,0.455,45.5,27.1,4.9,9.4,6.7,20.50%,3.70%,1.00%,13.80%
"McKnight, Chris AKRON",36,25,24.8,20.6,109.5,91.8,0.552,0.496,67.2,20.3,8.9,13.9,10.3,9.50%,2.00%,1.60%,14.30%
"Jones, Kevin WVU",35,0,19.3,17.1,114.5,91.9,0.516,0.503,23.7,7.2,10.6,18.3,12.9,6.70%,1.90%,3.80%,7.80%
"Kickingstallionsims, Chief ALST",32,32,20.5,20.5,111.1,91.9,0.605,0.594,46,0,7.5,14.5,10.3,2.90%,0.60%,12.80%,13.50%
"Robinson, Stanley UCONN",28,24,24.9,18.7,105,91.9,0.539,0.513,32.8,12,9.4,15.3,11.5,8.80%,1.40%,3.90%,16.70%
"Mitchell, Markus MTSTMR",33,33,23.3,11,103.1,91.9,0.562,0.547,26.4,0,9.6,18.4,12.7,11.60%,2.80%,3.10%,27.60%
"Jackson, Dante XAVIER",35,22,27.1,15.7,98.1,91.9,0.523,0.474,35.4,65.1,1.2,12.5,6.7,18.70%,2.90%,0.50%,23.70%
"Monroe, Greg GTOWN",31,31,30.9,22.1,113.7,91.9,0.622,0.576,60,2.4,8.7,16.8,12,18.80%,3.70%,5.10%,19.60%
"McGee, Andre LOU",37,16,19.6,15.9,101.9,92,0.512,0.492,14.4,74,1.6,7.7,4.4,15.50%,3.70%,0.00%,17.20%
"Downs, Micah GONZ",34,23,25.5,18.1,120.8,92,0.578,0.528,32.5,50.4,6.1,13.3,9.2,7.70%,2.00%,2.00%,8.50%
"Palmer, Kevin TXAMCC",33,33,29.9,31.5,106.5,92,0.56,0.488,45.8,39.1,6.2,13.2,8.7,24.60%,5.10%,1.90%,17.20%
"Aminu, Al-Farouq WAKE",31,30,29,22,106.5,92,0.573,0.528,53.7,13.8,9.1,19.9,13.8,9.00%,1.80%,4.20%,18.80%
"Pomare, Gyno USD",31,28,27.2,27.4,112.9,92.1,0.578,0.533,38.8,0,9.7,18.1,12.9,9.00%,2.20%,4.90%,10.60%
"Bacon, Ryan STPTR",30,30,27.7,23.8,104.4,92.1,0.561,0.527,39.3,0.4,14.4,19.7,15.5,10.00%,2.40%,10.50%,18.30%
"Ebanks, Devin WVU",35,34,30.2,19.3,110.8,92.1,0.536,0.479,49.8,14.2,9.5,20.3,13.3,17.40%,1.70%,2.60%,16.40%
