ADVANCED,GP,GS,MPG,USG_PCT,OFF_RTG,DEF_RTG,TS_PCT,EFG_PCT,FT_RATE,3FG_TEND,OFF_REB_PCT,DEF_REB_PCT,REB_PCT,AST_PCT,STL_PCT,BLK_PCT,TO_PCT
"39 Williams, Andre OKST",32,28,26.7,11.3,89.7,89.3,0.464,0.487,63,0,9.4,14,10.8,3.80%,1.80%,10.00%,21.60%
"40 Frye, Channing ARIZ",32,27,25.4,20.2,124.3,89.6,0.595,0.569,37.9,0.3,12.3,19.7,14.9,5.20%,1.20%,6.70%,8.40%
"41 Harvey, Trevor FSU",29,26,18.4,22.1,111.5,89.7,0.603,0.59,57.1,0,12.7,18.1,14.1,5.50%,3.60%,7.10%,14.80%
"42 West, Delonte STJOES",26,22,30.2,29.9,112.7,89.7,0.591,0.554,25.1,43,4,12,7.5,27.10%,3.30%,0.70%,14.60%
"43 Austin, Mario MSST",25,24,32.9,24.7,109.4,89.8,0.579,0.543,45.9,4.3,9.9,17.5,12.7,7.90%,2.00%,2.40%,15.40%
"44 Burnette, Tim UNCWIL",28,24,28.8,21.5,106,89.8,0.557,0.528,28.9,35.4,2.2,11.7,6.5,17.00%,3.60%,1.60%,14.80%
"45 Owens, Kevin MONM",28,28,29.1,24.9,92.4,89.9,0.546,0.516,48.8,1.6,8.7,24.4,15.2,8.00%,2.10%,6.80%,20.80%
"46 Onyekwe, Ugonna PENN",28,23,29.6,32.8,104.5,89.9,0.565,0.528,48.2,14.5,9.6,17.3,12.5,17.20%,3.10%,3.00%,16.70%
"47 Cook, Brian ILL",30,30,31.3,32.7,109.9,89.9,0.585,0.511,48.6,21.1,6,21.3,13,14.00%,1.30%,1.60%,13.90%
"48 McFarlin, Ivan OKST",32,32,30.7,18.5,107.4,89.9,0.574,0.545,50.8,0.8,12,16.4,13,6.70%,2.40%,2.80%,18.30%
"49 Grant, Josh WINTHR",29,4,16.6,21.2,100.3,90,0.543,0.485,57.4,1.5,6.7,15.8,10.2,4.90%,1.00%,14.80%,17.00%
"50 Young, Jesse GMU",26,25,30.3,22.6,100.2,90,0.517,0.453,42.9,6.9,11.2,22.2,14.9,9.10%,1.60%,2.50%,17.60%
"Hayes, Chuck UK",36,36,27.7,16.6,114.5,90.1,0.572,0.507,46.2,14.7,10.3,18.4,13.3,14.00%,2.50%,3.80%,19.40%
"Meade, Jave HC",31,31,34.7,17,118,90.1,0.585,0.527,59,27.5,3.9,9.6,6.2,35.10%,3.80%,0.90%,20.20%
"Southall, Michael UL-Laf",27,22,28.2,21.2,115.3,90.2,0.618,0.61,66.1,0,8.9,20.9,13.7,13.90%,2.20%,9.10%,16.80%
"Crawford, Matt LEHIGH",28,28,21,21.9,106.7,90.3,0.564,0.494,46.5,0,11.1,22.1,15.4,3.10%,2.10%,8.90%,15.70%
"Miles, Aaron KAN",38,38,30.8,17.8,98.8,90.3,0.503,0.449,35.6,33.6,1.1,9.9,5.2,30.80%,4.20%,0.60%,26.70%
"Lewin, Rob TROY",32,31,25.5,22.9,108.7,90.3,0.588,0.537,62.7,4.6,12.8,19.4,14.7,7.90%,2.90%,9.20%,19.60%
"Deane, Willie PUR",30,30,28.8,32.2,107.6,90.3,0.553,0.477,51.3,38.3,3.2,17.4,9.5,18.60%,3.50%,0.90%,12.70%
"Blizzard, Brett UNCWIL",31,31,35.2,29.9,117.9,90.4,0.602,0.571,27.2,50.8,4.3,10,6.7,23.70%,3.90%,1.10%,11.30%
"Davis, Mark GMU",28,28,32.1,30.5,89.5,90.4,0.482,0.45,34.3,41.7,3.7,11,6.6,10.00%,3.70%,1.10%,17.10%
"McCall, Calvin MD",29,13,17.6,14.3,109.7,90.5,0.55,0.518,26.3,34.2,7.1,12.6,9.2,14.00%,3.60%,1.80%,18.00%
"Benton, Mike COLCH",32,29,23,19.4,109.1,90.5,0.604,0.605,45.5,0,10.9,20.4,14.3,3.70%,1.40%,10.30%,16.70%
"Myles, Ellis LOU",24,24,24.8,16.8,106.7,90.5,0.606,0.588,116.7,2.9,12.6,21.7,16.1,12.30%,2.20%,2.30%,27.00%
"Gloger, Jeff UCI",29,27,28.3,16.6,109.1,90.5,0.611,0.569,60.8,17.6,6.7,12.3,8.8,21.30%,5.70%,0.60%,25.40%
"Smith, Nick ILL",31,5,17.4,17.5,99.4,90.6,0.581,0.517,36.4,9.1,5.4,14,9.2,8.60%,1.20%,8.10%,23.00%
