ADVANCED,GP,GS,MPG,USG%,OFF RTG,DEF RTG,TS%,EFG%,FT RATE,3FG TEND,OFF REB%,DEF REB%,REB%,AST%,STL%,BLK%,TO%
"Walker, Danny HOFSTR",28,28,26.9,18.2,91.6,94.6,0.438,0.366,39.6,36.3,8.5,14.6,10.4,6.70%,2.50%,5.20%,15.30%
"Werner, Brian BUCK",22,20,28.1,22.5,90.8,94.6,0.473,0.434,50.3,17.7,8.3,18,12.1,8.90%,2.70%,2.80%,16.60%
"Roberts, Lawrence BAYLOR",30,29,28.6,29.6,107.9,94.6,0.528,0.478,46.8,20.2,11.6,18.9,14.2,9.90%,3.40%,4.30%,11.00%
"Stephens, Cameron CHA",29,29,28.8,24,109.9,94.6,0.549,0.513,38.6,0,11.2,24.2,16.3,10.40%,1.80%,3.10%,13.40%
"Sato, Romain XAVIER",32,32,34.6,22.2,121.2,94.6,0.608,0.578,40.1,55.7,7.2,14.2,10,11.50%,1.70%,1.80%,12.10%
"Basden, Eddie CHA",30,0,18.9,14.5,99.9,94.6,0.527,0.474,60.4,8.3,10.3,14.6,11.4,12.50%,4.40%,1.30%,26.10%
"Rieck, Joel NAU",28,6,18.6,15.4,108.2,94.6,0.592,0.549,21.4,39.3,10.2,18.9,13.8,12.20%,2.20%,2.40%,21.70%
"Lane, Darius SHU",29,27,28.8,22.7,100.7,94.6,0.546,0.526,17.2,65.7,5.3,11.4,7.6,11.30%,4.70%,0.70%,17.60%
"Adams, Chris ELON",29,21,19.1,14.4,80.6,94.6,0.464,0.437,53.4,1,8.2,16,10.8,5.20%,3.00%,4.50%,27.40%
"Latham, Kashien GEOSOU",28,23,25.3,20.5,108.9,94.6,0.551,0.525,41.6,0,11.9,26.1,17.4,3.30%,1.40%,3.90%,14.00%
"Blue, Howard COLG",28,10,22.7,26,103.1,94.6,0.555,0.534,43.3,9.4,9.9,19.3,13.3,8.30%,3.20%,1.70%,15.30%
"Scott, Ricardo CCSU",31,27,29.2,24.2,105,94.6,0.532,0.495,31.7,33.5,7.2,11.6,8.6,12.00%,2.00%,0.60%,14.90%
"Mbyirukira, Shema BSC",27,11,18.6,16,91.4,94.7,0.456,0.45,47,15,10,16.8,12,13.30%,0.90%,13.20%,20.40%
"Holland, Yuanta DAYTON",32,2,18.4,21.1,108.4,94.7,0.569,0.527,57,0,12.9,14.9,13,6.00%,2.10%,2.50%,16.90%
"Estill, Marquis UK",32,12,16.8,22.9,117.8,94.7,0.663,0.635,48.3,5.6,12.5,14.8,12.5,6.40%,1.10%,8.20%,18.20%
"Williams, Damond MCNEES",21,15,26.5,22,106.6,94.7,0.582,0.558,44.2,24.4,9,14.2,10.4,11.40%,1.70%,0.70%,18.30%
"Green, Von Damien MANH",29,29,37.6,17.7,105,94.7,0.554,0.46,56.8,29.2,2.9,7.8,4.8,23.70%,4.00%,0.60%,22.90%
"Mayo, Derrick COL",26,24,28.2,13,87.8,94.7,0.558,0.488,49.4,61.7,3.2,12.8,7.6,26.70%,2.10%,0.20%,39.70%
"Bush, Eric UAB",30,28,32.5,17,87.9,94.7,0.461,0.375,52.6,27.1,3.2,10.9,6.4,30.80%,3.80%,0.30%,30.80%
"Barron, Earl MEM",36,21,21.7,19.8,112.5,94.7,0.592,0.526,50.2,3.9,11.6,13.4,11.5,6.90%,1.50%,3.20%,18.40%
"Stewart, Marcus WINTHR",30,23,27.7,17.3,101.7,94.7,0.52,0.446,81.1,0,7.7,16.4,10.8,8.70%,2.20%,2.20%,17.40%
"McClurkin, Will UMBC",27,24,31,22.2,93.5,94.7,0.488,0.463,25.3,3.4,7.4,16.2,10.8,7.70%,1.30%,3.20%,15.60%
"Nnamaka, Oluoma MARQ",33,33,28.2,14,120.4,94.7,0.572,0.517,53.6,16,9.8,8.7,8.5,8.40%,2.00%,2.00%,13.50%
"Monserez, Mike BUTLER",32,0,22.1,16.4,110.8,94.7,0.555,0.53,15.6,87.4,3,12.9,7.2,16.00%,1.70%,0.90%,14.40%
"Ndoye, Maleye FURMAN",30,4,16.9,21.9,94.6,94.8,0.509,0.485,22.1,4.3,8.8,17.6,12.3,13.30%,1.40%,3.30%,19.40%
"Dudley, Erwin ALA",35,35,31.2,22.8,116.8,94.8,0.594,0.558,46,0.3,12.3,18.5,14.1,8.40%,1.40%,2.30%,14.20%
"Weaver, Kolin ARKST",31,31,28.5,19.3,111,94.8,0.58,0.536,35.2,30,8.5,17.2,11.8,5.00%,2.30%,3.00%,15.80%
"Wheless, Troy COLCH",28,23,28.5,15.5,123.6,94.8,0.613,0.579,27.4,56.3,1.6,11,6.1,13.60%,2.00%,0.40%,10.90%
"Stovall, Milo VALPO",32,31,25.6,23,112.6,94.8,0.58,0.531,46.7,43.1,7.7,10.7,8.4,16.50%,3.60%,0.50%,15.80%
"Davis, Cedric UAB",28,13,16.2,8,99.6,94.8,0.458,0.396,52.1,0,8.8,15.1,10.9,6.20%,2.20%,2.70%,21.30%
"Reason, Anthony GONZ",33,32,22,12.6,118.8,94.8,0.552,0.511,44.8,23.1,11.6,11.8,10.7,10.40%,1.70%,1.80%,15.80%
"Harper, Aaron MISS",31,27,29,22.8,101.5,94.9,0.56,0.549,16,68.1,3.3,14.9,8.4,12.40%,2.90%,0.10%,17.10%
"Ninkovic, Damion UALR",28,10,16.2,26.2,98,94.9,0.536,0.491,37.5,7.7,10.2,15.9,12,6.70%,2.30%,0.70%,18.70%
"Martin, Phil HAW",33,33,26.8,20,99.6,94.9,0.503,0.485,28.6,0,9.5,12.3,10.1,6.70%,2.30%,2.00%,13.50%
"Austin, Mario MSST",35,35,30,25.4,115.8,94.9,0.598,0.559,59.2,1.3,10.1,18.1,13.2,9.60%,1.20%,2.50%,13.20%
"Booker, Nick DAVDSN",25,17,24.2,14.7,93.3,94.9,0.459,0.447,26,23.7,7.5,14.7,10.2,12.20%,1.40%,3.70%,18.90%
"Suitt, Cedric PEPP",31,31,20.7,8.6,100.1,94.9,0.491,0.475,56.3,1.3,6.5,18.8,11.4,2.10%,0.40%,15.10%,16.70%
"Wade, Tiras ETNST",28,11,25.5,24,99.3,94.9,0.519,0.464,46.6,12.1,9.4,10,8.8,12.60%,2.90%,1.10%,19.30%
"Burke, Jason NU",29,3,23.4,13.9,87.1,94.9,0.459,0.419,42.3,49.5,1.6,15.8,8,17.10%,1.20%,2.10%,21.50%
"Jones, Dahntay DUKE",35,32,28.9,18.1,109.5,94.9,0.563,0.525,33.7,17.2,6.1,9.5,7.3,6.30%,1.50%,1.50%,14.30%
"Jackson, Chris WAGNER",29,25,25.1,22.5,95.4,94.9,0.541,0.524,27.1,12.4,7.3,19.1,12.2,13.00%,3.30%,1.20%,21.90%
"Bethel, Tony GTOWN",24,18,30,16,113,94.9,0.558,0.511,36.4,58.3,4.3,9.8,6.5,14.10%,3.20%,0.50%,14.60%
"Bowers, Timmy MSST",32,6,25.2,22.8,102.5,94.9,0.524,0.508,21.2,45.8,2.3,10.1,5.9,11.90%,3.20%,1.30%,13.30%
"Bennett, Travarus MINN",31,29,27.8,14.8,131.9,94.9,0.667,0.619,51.4,44.8,9.9,13.3,10.5,10.80%,5.10%,3.10%,14.30%
"Latovic, Damir MONTST",30,27,26.3,24.3,104,94.9,0.526,0.511,34.1,36.6,7.8,29.8,17.4,8.20%,2.20%,0.80%,11.30%
"Walker, Tyrone WINTHR",31,31,28.8,20,110.1,94.9,0.567,0.529,32.7,47.1,9.2,14,10.4,11.20%,2.20%,4.20%,15.90%
"Zachery, Nick UALR",28,20,28.7,29.1,107.5,95,0.589,0.56,17.7,63.2,2.3,10.7,6.1,28.20%,3.40%,0.10%,19.00%
"Gholar, Michael MSST",35,35,25.5,14.2,106.7,95,0.526,0.477,39.4,53.7,10.3,16.7,12.6,12.10%,1.80%,0.80%,20.80%
"Johnsen, Britton UTAH",30,30,27.9,26.5,106.2,95,0.58,0.555,54.2,33,9.6,20.5,13.7,13.50%,2.20%,2.20%,17.00%
"Venable, Will PRIN",27,0,15.9,22.1,102.8,95,0.595,0.53,59,30,1.7,12.6,6.6,16.20%,4.10%,0.60%,20.30%
"Serravalle, Ryan HC",33,33,33.5,22.6,98.6,95,0.502,0.431,41,37.2,2.5,13.5,7.2,19.00%,2.30%,0.00%,16.30%
"Snow, Alvin EWU",29,24,26.1,24.7,97.3,95,0.568,0.535,24.2,41.5,3,12.5,7.3,20.70%,4.00%,0.70%,20.90%
"Archibong, Koko PENN",32,32,30.3,23.9,115.6,95,0.627,0.555,54.1,22.6,8.4,14.4,10.6,11.10%,2.00%,3.80%,15.40%
"Gosley, Tahric CLEVST",28,19,24.1,19.4,88.9,95,0.52,0.497,44.4,0,7.9,15.6,11,4.40%,2.60%,5.70%,23.20%
"Hughes, Solomon CAL",28,24,17.7,22.6,104,95,0.566,0.594,43.8,0,10.6,15.1,11.9,7.10%,1.60%,7.40%,14.40%
"Williams, Frank ILL",35,34,32.4,27.4,108.7,95.1,0.532,0.454,45.8,35.9,3.6,12.7,7.7,27.20%,3.60%,1.00%,15.30%
"Rice, Darius MIA",32,31,32.8,23.7,104.8,95.1,0.525,0.477,28.4,51.4,4.9,14.4,8.8,10.70%,2.10%,2.10%,10.90%
"Iversen, Ryan DEL",30,5,23.8,18.9,110,95.1,0.517,0.446,36.8,42.5,8.2,20.9,13.4,21.10%,3.80%,0.00%,14.80%
"Whitehead, Luke LOU",29,22,26.6,20.2,105.7,95.1,0.528,0.5,31.8,2.4,9.4,15.2,11.5,13.00%,2.60%,1.20%,15.20%
"Chapman, Lou UNCWIL",29,20,19.3,10.6,90.3,95.1,0.499,0.432,54.2,57.6,1.3,7.8,4.2,20.60%,3.70%,0.40%,34.20%
"Mombollet, Max CIT",28,10,18.9,15.4,106.1,95.1,0.603,0.525,69.7,0,8.7,16.3,11.5,6.20%,2.00%,3.60%,23.20%
"Burnette, Tim UNCWIL",33,12,23,17.2,96.5,95.1,0.489,0.449,33.9,41.1,4.4,8.3,5.8,20.40%,3.50%,0.80%,21.20%
"Grundy, Anthony NCST",34,33,32.4,27.2,115.6,95.1,0.582,0.538,35,30.2,5.7,14.9,9.3,25.00%,3.70%,0.50%,12.60%
"Ere, Ebi OU",36,32,29.4,25.2,112.1,95.1,0.536,0.492,26.5,39.5,9,12.7,9.8,10.70%,2.10%,1.50%,12.00%
