,,,,,,,
,,,,,,,
Rank,Player,Cl,Ht,Pos,G,BLKS,BKPG
151,"Damian Jones, Vanderbilt (SEC)",Fr.,6-10,C,31,43,1.39
142,"RJ Slawson, Jacksonville (ASUN)",Sr.,6-9,F,30,43,1.43
207,"Nate Hicks, FGCU (ASUN)",Sr.,6-10,F,35,42,1.2
197,"Jameel Warney, Stony Brook (America East)",So.,6-8,F,34,42,1.24
197,"Austin Nichols, Memphis (AAC)",Fr.,6-8,F,34,42,1.24
158,"Rakeem Buckles, FIU (C-USA)",Sr.,6-7,F,31,42,1.35
220,"Jerran Young, Wright St. (Horizon)",Sr.,6-6,F,35,41,1.17
220,"Juvonte Reddic, VCU (Atlantic 10)",Sr.,6-9,F,35,41,1.17
220,"Phillip Anglade, VMI (Big South)",So.,6-5,F,35,41,1.17
206,"Rob Loe, Saint Louis (Atlantic 10)",Sr.,6-11,F,34,41,1.21
196,"Kamari Murphy, Oklahoma St. (Big 12)",So.,6-8,F,33,41,1.24
187,"Leek Leek, Campbell (Big South)",Sr.,6-6,F,32,41,1.28
187,"Dejan Kravic, Texas Tech (Big 12)",Sr.,7-0,C,32,41,1.28
187,"Kadeem Jack, Rutgers (AAC)",Jr.,6-9,F,32,41,1.28
172,"Quadir Welton, Saint Peter's (MAAC)",Fr.,6-7,F,31,41,1.32
172,"James Siakam, Vanderbilt (SEC)",Jr.,6-7,F,31,41,1.32
172,"Willie Green, Stetson (ASUN)",Sr.,6-6,F,31,41,1.32
172,"Wesley Gordon, Colorado (Pac-12)",Fr.,6-9,F,31,41,1.32
156,"Noah Vonleh, Indiana (Big Ten)",Fr.,6-10,F,30,41,1.37
156,"Jarred Jones, Loyola Maryland (Patriot)",So.,6-5,G,30,41,1.37
137,"Demarquelle Tabb, Alabama A&M (SWAC)",---,0-0,,28,41,1.46
245,"Okaro White, Florida St. (ACC)",Sr.,6-7,F,36,40,1.11
231,"Josh Scott, Colorado (Pac-12)",So.,6-10,F,35,40,1.14
216,"Donte Williams, Georgia (SEC)",Sr.,6-9,F,34,40,1.18
216,"Hunter Harris, ETSU (ASUN)",Sr.,6-7,F,34,40,1.18
192,"Jimmie Taylor, Alabama (SEC)",Fr.,6-10,F,32,40,1.25
192,"Jonathan Holmes, Texas (Big 12)",Jr.,6-8,F,32,40,1.25
166,"Jordan Latham, Loyola Maryland (Patriot)",Sr.,6-8,F,30,40,1.33
166,"Oliver Ellison, Howard (MEAC)",So.,6-8,C,30,40,1.33
214,"Brandan Stith, East Carolina (C-USA)",Fr.,6-7,F,33,39,1.18
214,"Raphiael Putney, Massachusetts (Atlantic 10)",Sr.,6-9,C,33,39,1.18
183,"Richard Solomon, California (Pac-12)",Sr.,6-10,F,30,39,1.3
159,"Andre Washington, Wake Forest (ACC)",So.,7-0,C,29,39,1.34
159,"Mario Moody, Wagner (NEC)",Jr.,6-7,F,29,39,1.34
159,"Kyle Davis, Utah St. (MWC)",So.,6-7,F,29,39,1.34
113,"Ethan O'Day, Vermont (America East)",So.,6-9,F,25,39,1.56
242,"Jordan Parks, N.C. Central (MEAC)",Jr.,6-7,C,34,38,1.12
242,"Jodd Maxey, USC Upstate (ASUN)",Sr.,6-8,F,34,38,1.12
242,"Nathan Boothe, Toledo (MAC)",So.,6-9,C,34,38,1.12
227,"Clancy Rugg, Vermont (America East)",Sr.,6-8,G,33,38,1.15
227,"Eric McAlister, Stony Brook (America East)",Sr.,6-8,F,33,38,1.15
227,"David Laury, Iona (MAAC)",Jr.,6-9,F,33,38,1.15
211,"Kirk Van Slyke, Arkansas St. (Sun Belt)",Sr.,6-10,F,32,38,1.19
211,"Malcolm Miller, Southern U. (SWAC)",Sr.,6-6,G,32,38,1.19
211,"Ben Aird, Utah Valley (WAC)",Sr.,6-9,C,32,38,1.19
202,"Jaleel Roberts, UNC Asheville (Big South)",Jr.,7-0,C,31,38,1.23
240,"Moussa Kone, Hofstra (CAA)",Jr.,6-7,F,33,37,1.12
226,"Kyle Casey, Harvard (Ivy League)",Sr.,6-7,F,32,37,1.16
208,"Danrad Knowles, Houston (AAC)",Fr.,6-10,F,31,37,1.19
208,"Ladon Carter, Tennessee Tech (OVC)",Jr.,6-6,F,31,37,1.19
199,"Trevor Gruis, South Dakota (Summit League)",Sr.,6-9,C,30,37,1.23
199,"Devon Collier, Oregon St. (Pac-12)",Sr.,6-8,F,30,37,1.23
236,"Andrew Smith, Liberty (Big South)",Jr.,6-9,F,32,36,1.13
236,"Orlando Sanchez, St. John's (NY) (Big East)",Sr.,6-9,F,32,36,1.13
236,"Cody Larson, South Dakota St. (Summit League)",Jr.,6-9,F,32,36,1.13
236,"Brandon Conley, Oral Roberts (Southland)",So.,6-5,F,32,36,1.13
186,"Malcolm Gilbert, Fairfield (MAAC)",Jr.,6-11,C,28,36,1.29
166,"Dan Garvin, Bryant (NEC)",Fr.,6-6,F,27,36,1.33
233,"Tosin Mehinti, UAB (C-USA)",Fr.,6-9,F,31,35,1.13
233,"Williy Kouassi, Kennesaw St. (ASUN)",Jr.,6-10,C,31,35,1.13
233,"Mychal Ammons, South Ala. (Sun Belt)",Jr.,6-6,G,31,35,1.13
223,"Rodney Williams, Drexel (CAA)",Fr.,6-7,F,30,35,1.17
223,"Mitchell Patton, IUPUI (Summit League)",Sr.,6-9,C,30,35,1.17
223,"Dominique McKoy, Duquesne (Atlantic 10)",Jr.,6-8,F,30,35,1.17
205,"Ayibakuro Preh, Idaho St. (Big Sky)",Sr.,6-9,C,29,35,1.21
247,"Devontae Watson, Temple (AAC)",So.,6-10,C,31,34,1.1
247,"Seth Tuttle, UNI (MVC)",Jr.,6-8,F,31,34,1.1
247,"Wally Judge, Rutgers (AAC)",Sr.,6-9,F,31,34,1.1
247,"Earl Brown, Saint Francis (PA) (NEC)",Jr.,6-5,F,31,34,1.1
232,"Onochie Ochie, Southeastern La. (Southland)",Jr.,6-6,F,30,34,1.13
218,"Gabe Levin, Loyola Marymount (WCC)",Fr.,6-7,F,29,34,1.17
218,"Bryan Akinkugbe, N.C. A&T (MEAC)",Jr.,6-9,C,29,34,1.17
176,"Liam Thomas, Nicholls St. (Southland)",Fr.,6-10,F,25,33,1.32
246,"E.J. Reed, LIU Brooklyn (NEC)",So.,6-6,F,29,32,1.1
230,"Jarred Shaw, Utah St. (MWC)",Sr.,6-10,C,27,31,1.15
192,"Tim Coleman, NJIT (Independent)",Fr.,6-5,F,24,30,1.25
241,"Erik Copes, George Mason (Atlantic 10)",Jr.,6-8,F,25,,
